Q0,Q79,Q11,Q12,Q74,Q77,Q75,Q76,Q7,Q8,Q20,Q9,Q10,Q22,Q80,Q81,Q21,Q82,Q83,Q23,Q84,Q85,Q86,Q87,Q88,Q89,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q34,Q35,Q36,Q39,Q40,Q41,Q44,Q90,Q28,Q91,Q48,Q92,Q33,Q93,Q52,Q53,Q54,Q60,Q94,Q61,Q95,Q96,Q97,Q58,Q64,Q98,Q65,Q99,Q100,Q101,Q102,Q62,Q103,Q104,Q63,Q56,Q57,Q58,Q66,Q105,Q106,Q67,Q45,Q46,Q47,Q49,Q50,Q51
46,Chicago,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",6-10 years,6 - 10 years,Associate,Prefer not to say,I'm at the office 2-3 days a week,3,3,4,4,4,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,4,4,4,4,4,3,3,3,4,4,3,3,FALSE,3,FALSE,4,FALSE,5,FALSE,2,2,3,3,FALSE,3,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,4,4,4,4,FALSE,FALSE,4,3,2,3,4,4,5
47,Chicago,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Woman,I'm at the office 4-5 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,FALSE,5,FALSE,5,FALSE,5,FALSE,4,3,5,5,FALSE,1,FALSE,FALSE,FALSE,5,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,3,5,5,5,5,FALSE,FALSE,5,4,4,4,4,4,4
48,Chicago,Project Design Management ,More than 10 years,16-20 years,Principal,Man,I'm at the office 4-5 days a week,2,4,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,4,4,4,5,4,5,5,3,3,5,5,4,4,3,FALSE,2,FALSE,5,FALSE,5,FALSE,2,2,3,2,FALSE,2,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,2,3,3,4,4,FALSE,FALSE,5,5,5,5,4,4,5
49,Chicago,Project Technical Support (Realization / DT),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 4-5 days a week,2,4,5,4,4,5,FALSE,FALSE,2,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,2,4,4,5,4,4,3,4,4,4,4,4,2,FALSE,4,FALSE,4,FALSE,4,FALSE,2,4,4,4,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,3,4,4,4,FALSE,FALSE,4,4,4,4,4,4,4
50,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,4,4,5,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,4,4,5,4,4,4,5,5,5,5,5,5,5,FALSE,5,FALSE,5,FALSE,5,FALSE,4,3,4,5,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,5,4,5,5,5,5
51,San Francisco,Project Design Management ,6-10 years,16-20 years ,Senior Associate,Man,I'm at the office 2-3 days a week,4,4,4,5,5,4,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,5,5,5,5,5,4,5,3,5,5,2,3,FALSE,4,FALSE,4,FALSE,5,FALSE,4,4,4,5,FALSE,5,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,3,5,5,4,5,FALSE,FALSE,4,5,5,4,4,4,5
52,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,2,3,4,4,4,4,FALSE,FALSE,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,4,3,3,4,4,3,4,3,5,5,2,3,FALSE,2,FALSE,4,FALSE,5,FALSE,4,3,2,2,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,2,5,5,FALSE,FALSE,5,4,3,4,5,5,5
53,San Francisco,Project Design Management ,More than 10 years,20+ years,Senior Associate,Woman,I'm at the office 2-3 days a week,4,5,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,FALSE,2,FALSE,5,FALSE,5,FALSE,2,2,4,5,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,3,4,5,5,5
54,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Man,I'm at the office 2-3 days a week,4,5,3,5,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,5,5,5,5,5,3,3,4,3,4,3,2,FALSE,1,FALSE,5,FALSE,5,FALSE,2,2,3,1,FALSE,1,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,4,5,FALSE,FALSE,5,4,4,5,5,4,5
55,San Francisco,Project Design (Architecture / Interiors / Urban),3-5 years,11-15 years,Untitled,Man,I'm at the office 2-3 days a week,3,3,4,4,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,3,2,5,5,4,4,4,4,1,4,3,1,3,FALSE,2,FALSE,4,FALSE,5,FALSE,3,1,2,4,FALSE,3,FALSE,FALSE,FALSE,5,4,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,5,4,FALSE,FALSE,5,3,3,3,4,5,5
57,San Francisco,Project Technical Support (Realization / DT),3-5 years,6 - 10 years,Associate,Woman,I'm at the office 2-3 days a week,3,4,4,4,5,5,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,3,3,5,4,4,5,4,4,1,5,5,2,3,FALSE,2,FALSE,4,FALSE,4,FALSE,3,1,3,4,FALSE,2,FALSE,FALSE,FALSE,3,5,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,2,4,3,3,3,FALSE,FALSE,2,3,3,2,4,4,4
56,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,11-15 years,Principal,Man,I'm at the office 4-5 days a week,4,5,4,4,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,5,5,4,4,5,4,5,5,5,5,5,4,FALSE,5,FALSE,4,FALSE,5,FALSE,3,2,3,3,FALSE,2,FALSE,FALSE,FALSE,5,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,3,4,4,5,4,FALSE,FALSE,4,5,3,5,5,4,5
58,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,16-20 years,Untitled,Man,I'm at the office 2-3 days a week,4,4,5,5,5,5,FALSE,FALSE,4,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,5,5,5,5,5,2,4,4,5,4,4,4,FALSE,4,FALSE,4,FALSE,5,FALSE,4,3,4,5,FALSE,2,FALSE,FALSE,FALSE,3,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,2,4,4,3,4,FALSE,FALSE,4,5,4,3,4,4,5
59,San Francisco,Project Design (Architecture / Interiors / Urban),6-10 years,6 - 10 years,Associate,Man,I'm at the office 2-3 days a week,4,4,3,5,5,5,FALSE,FALSE,4,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,2,3,2,4,4,1,1,FALSE,4,FALSE,4,FALSE,5,FALSE,4,2,2,1,FALSE,2,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,3,4,5,FALSE,FALSE,5,3,3,1,5,5,5
60,San Francisco,Project Design (Architecture / Interiors / Urban),3-5 years,6 - 10 years,Untitled,Man,I'm at the office 2-3 days a week,4,5,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,5,3,4,3,5,5,3,4,FALSE,4,FALSE,4,FALSE,5,FALSE,3,2,4,3,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,4,5,5,FALSE,FALSE,4,4,4,3,5,5,5
61,San Francisco,Project Design Management ,3-5 years,20+ years,Associate,Man,I'm at the office 2-3 days a week,3,4,3,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,3,5,4,4,3,3,4,4,4,3,4,2,FALSE,2,FALSE,5,FALSE,4,FALSE,2,1,2,2,FALSE,2,FALSE,FALSE,FALSE,4,3,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,4,3,FALSE,FALSE,3,3,3,1,5,5,5
62,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",6-10 years,16-20 years,Untitled,Woman,I'm at the office 4-5 days a week,4,3,4,3,3,4,FALSE,FALSE,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,4,4,4,4,4,4,4,4,2,4,4,2,3,FALSE,4,FALSE,3,FALSE,4,FALSE,3,1,2,4,FALSE,4,FALSE,FALSE,FALSE,4,3,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,2,2,4,5,FALSE,FALSE,4,4,2,3,3,3,5
63,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",6-10 years,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,4,3,3,4,5,4,FALSE,FALSE,4,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,5,4,4,4,4,4,5,5,3,5,5,3,5,FALSE,5,FALSE,4,FALSE,4,FALSE,4,4,4,4,FALSE,4,FALSE,FALSE,FALSE,5,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,5,5,5,4,FALSE,FALSE,4,5,4,4,5,5,4
64,San Francisco,Project Design Management ,3-5 years,20+ years,Untitled,Man,I'm at the office 2-3 days a week,4,4,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,3,5,5,4,4,5,5,5,5,5,5,5,FALSE,2,FALSE,5,FALSE,5,FALSE,3,1,3,3,FALSE,1,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,5,5,5,4,5,FALSE,FALSE,5,4,4,3,5,5,5
65,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,3,4,3,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,4,4,5,5,5,5,4,5,4,5,5,3,4,FALSE,4,FALSE,5,FALSE,5,FALSE,2,1,1,2,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,3,3,4,5,5,5
66,San Francisco,Project Technical Support (Realization / DT),More than 10 years,20+ years,Untitled,Prefer not to say,I'm at the office 2-3 days a week,3,4,4,3,5,5,FALSE,FALSE,3,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,4,5,4,3,4,4,4,3,4,4,1,4,FALSE,4,FALSE,4,FALSE,5,FALSE,3,3,3,3,FALSE,1,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,4,4,4,4,4,FALSE,FALSE,4,4,4,4,4,4,5
67,San Francisco,HR,6-10 years,6 - 10 years,Senior Associate,Woman,I'm at the office 2-3 days a week,5,5,5,4,5,5,FALSE,FALSE,5,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,5,5,4,5,4,5,5,5,5,5,4,3,FALSE,4,FALSE,5,FALSE,4,FALSE,4,3,3,3,FALSE,3,FALSE,FALSE,FALSE,4,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,3,4,3,4,5,FALSE,FALSE,5,4,4,4,5,5,5
68,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,20+ years,Principal,Man,I'm at the office 4-5 days a week,5,5,4,4,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,4,2,5,5,5,5,5,5,5,4,4,1,4,FALSE,3,FALSE,4,FALSE,5,FALSE,1,1,1,4,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,2,4,4,4,1,FALSE,FALSE,1,4,4,4,4,4,4
69,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,3,3,5,4,5,5,FALSE,FALSE,2,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,3,3,5,5,4,5,5,5,4,4,4,3,4,FALSE,4,FALSE,3,FALSE,5,FALSE,2,1,2,3,FALSE,1,FALSE,FALSE,FALSE,5,4,FALSE,2,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,4,4,4,5,5,FALSE,FALSE,5,3,1,4,3,3,5
70,San Francisco,"DXD, Brand, Graphics",0-2 years ,11-15 years,Untitled,Man,I'm fully remote,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,5,5,5,FALSE,5,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,4,5,5,5,5
71,San Francisco,Firmwide Hub & Office Leadership ,3-5 years,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,3,4,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,4,4,5,3,5,3,5,5,5,5,5,5,4,FALSE,4,FALSE,5,FALSE,5,FALSE,4,3,1,4,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,3,3,3,5,5,5
72,San Francisco,Marketing :) ,0-2 years ,6 - 10 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE,3,FALSE,5,FALSE,5,FALSE,2,2,3,4,FALSE,5,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,4,5,4,4,5,5,5
73,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,2,2,1,5,5,5,FALSE,FALSE,1,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,1,2,5,5,5,5,3,2,5,3,3,3,4,FALSE,2,FALSE,3,FALSE,3,FALSE,1,2,4,2,FALSE,2,FALSE,FALSE,FALSE,3,3,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,3,3,3,3,FALSE,FALSE,3,4,4,4,3,3,3
74,San Francisco,Project Design (Architecture / Interiors / Urban),More than 10 years,11-15 years,Senior Associate,Woman,I'm at the office 2-3 days a week,4,4,4,4,4,5,FALSE,FALSE,4,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,2,3,5,4,4,4,5,4,4,4,4,3,2,FALSE,2,FALSE,5,FALSE,5,FALSE,2,2,4,2,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,4,4,4,4,FALSE,FALSE,4,4,4,3,4,4,5
75,San Francisco,Project Design Management ,More than 10 years,20+ years,Principal,Man,I'm at the office 4-5 days a week,4,4,4,4,4,4,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,3,3,5,4,4,4,4,4,4,5,4,3,4,FALSE,2,FALSE,5,FALSE,5,FALSE,1,1,1,4,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,4,4,4,4,FALSE,FALSE,4,4,4,4,4,4,5
76,San Francisco,Firmwide Hub & Office Leadership ,0-2 years ,20+ years,Untitled,Woman,I'm at the office 2-3 days a week,3,4,4,3,5,5,FALSE,FALSE,2,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,3,5,4,4,4,4,5,5,4,5,5,3,FALSE,1,FALSE,5,FALSE,4,FALSE,1,2,2,2,FALSE,2,FALSE,FALSE,FALSE,5,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,4,4,5,4,FALSE,FALSE,4,3,4,5,4,4,4
77,San Francisco,"Consulting (Real Estate Service, Strategy & Sustainability)",0-2 years ,20+ years,Senior Associate,Man,I'm at the office 4-5 days a week,5,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,5,5,5,5,5,5,5,4,5,5,4,3,FALSE,4,FALSE,4,FALSE,5,FALSE,4,3,3,5,FALSE,4,FALSE,FALSE,FALSE,4,4,FALSE,3,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,3,2,4,5,FALSE,FALSE,4,5,5,5,5,5,5
78,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",More than 10 years,20+ years,Senior Associate,Woman,I'm at the office 4-5 days a week,5,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,5,5,5,FALSE,5,FALSE,FALSE,FALSE,3,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,3,5,5,3,3,FALSE,FALSE,3,5,5,5,5,5,5
79,San Francisco,Project Design (Architecture / Interiors / Urban),3-5 years,6 - 10 years,Untitled,Man,I'm fully remote,2,5,3,4,5,4,FALSE,FALSE,3,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,4,5,4,4,5,5,5,5,5,5,3,1,3,FALSE,5,FALSE,3,FALSE,5,FALSE,3,3,3,2,FALSE,3,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,3,5,5,3,FALSE,FALSE,3,4,2,3,3,4,5
80,San Francisco,Project Design (Architecture / Interiors / Urban),0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE,3,FALSE,5,FALSE,5,FALSE,2,2,2,5,FALSE,4,FALSE,FALSE,FALSE,2,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,3,2,2,5,FALSE,FALSE,4,5,5,5,5,5,5
81,San Francisco,Project Design Management ,0-2 years ,20+ years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,5,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,4,5,5,5,5,4,5,5,5,5,3,4,FALSE,4,FALSE,5,FALSE,5,FALSE,2,2,3,1,FALSE,2,FALSE,FALSE,FALSE,4,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,4,4,5,FALSE,FALSE,5,5,5,5,5,5,5
82,San Francisco,Project Design (Architecture / Interiors / Urban),6-10 years,6 - 10 years,Associate,Woman,I'm at the office 2-3 days a week,4,5,4,3,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,5,5,3,5,5,5,5,4,5,5,3,3,FALSE,2,FALSE,5,FALSE,5,FALSE,3,2,3,4,FALSE,4,FALSE,FALSE,FALSE,4,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,4,4,4,FALSE,FALSE,4,4,4,4,3,5,5
83,San Francisco,"Shared Services (HR, IT, Finance, Legal, Project Coordinators, etc)",0-2 years ,11-15 years,Untitled,Woman,I'm at the office 2-3 days a week,3,3,5,4,4,5,FALSE,FALSE,2,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,4,5,5,5,5,2,3,5,5,5,4,2,2,FALSE,2,FALSE,4,FALSE,4,FALSE,1,1,3,5,FALSE,1,FALSE,FALSE,FALSE,5,1,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,3,FALSE,FALSE,5,3,3,3,2,2,5
84,San Francisco,Project Design Management ,More than 10 years,20+ years,Principal,Woman,I'm at the office 4-5 days a week,4,4,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,5,5,5,5,5,5,3,4,5,5,5,5,3,FALSE,4,FALSE,5,FALSE,5,FALSE,3,3,3,3,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,4,FALSE,FALSE,4,5,4,4,5,5,5
85,San Francisco,"DXD, Brand, Graphics",3-5 years,6 - 10 years,Untitled,Man,I'm at the office 2-3 days a week,3,5,3,5,5,4,FALSE,FALSE,2,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,4,4,4,3,3,4,3,3,3,5,5,5,3,FALSE,3,FALSE,5,FALSE,5,FALSE,2,2,3,2,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,4,5,5,5,5,FALSE,FALSE,5,5,4,5,3,3,4
86,San Francisco,Project Design (Architecture / Interiors / Urban),6-10 years,11-15 years,Associate,Woman,I'm at the office 2-3 days a week,3,5,4,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,FALSE,4,FALSE,5,FALSE,5,FALSE,2,2,1,2,FALSE,1,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,4,4,4,5,5,5
88,Chicago,Project Design (Architecture / Interiors / Urban),3-5 years,20+ years,Principal,Woman,I'm at the office 4-5 days a week,5,5,5,5,5,5,FALSE,FALSE,5,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,5,5,5,4,5,5,4,5,5,5,5,3,4,FALSE,5,FALSE,4,FALSE,5,FALSE,3,2,2,2,FALSE,5,FALSE,FALSE,FALSE,5,4,FALSE,5,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,5,4,4,5,5,FALSE,FALSE,5,4,5,5,4,5,5
89,Chicago,Firmwide Hub & Office Leadership ,0-2 years ,0-5 years,Untitled,Woman,I'm at the office 2-3 days a week,4,5,4,5,5,5,FALSE,FALSE,4,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,4,5,5,5,5,5,5,5,5,4,3,3,3,3,FALSE,5,FALSE,4,FALSE,5,FALSE,2,3,3,2,FALSE,2,FALSE,FALSE,FALSE,3,4,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,4,3,3,3,4,FALSE,FALSE,4,4,2,4,3,4,3
90,Chicago,Project Design (Architecture / Interiors / Urban),More than 10 years,20+ years,Senior Associate,Woman,I'm at the office 1 day a week,4,3,4,5,5,5,FALSE,FALSE,3,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,3,4,4,4,4,4,3,3,3,3,2,3,FALSE,4,FALSE,2,FALSE,5,FALSE,2,2,2,4,FALSE,3,FALSE,FALSE,FALSE,4,5,FALSE,3,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,4,4,4,5,FALSE,FALSE,5,4,4,3,2,3,5
91,San Francisco,"DXD, Brand, Graphics",0-2 years ,0-5 years,Untitled,Man,I'm fully remote,5,4,3,5,4,5,FALSE,FALSE,4,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,4,4,5,5,5,4,3,4,2,5,4,1,2,FALSE,3,FALSE,3,FALSE,5,FALSE,3,4,2,2,FALSE,2,FALSE,FALSE,FALSE,1,5,FALSE,1,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,4,4,1,5,FALSE,FALSE,5,2,2,2,3,3,5
92,San Francisco,Project Technical Support (Realization / DT),More than 10 years,20+ years,Associate,Woman,I'm at the office 1 day a week,2,4,2,3,5,5,FALSE,FALSE,2,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,1,4,4,4,5,4,4,4,4,4,4,3,3,FALSE,2,FALSE,4,FALSE,5,FALSE,2,2,2,2,FALSE,4,FALSE,FALSE,FALSE,5,5,FALSE,4,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,3,5,5,5,5,FALSE,FALSE,5,5,5,3,5,5,5
93,Chicago,Project Design (Architecture / Interiors / Urban),More than 10 years,16-20 years,Senior Associate,Woman,I'm at the office 1 day a week,5,5,2,5,5,5,FALSE,FALSE,4,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,5,5,5,5,5,4,5,5,1,4,FALSE,3,FALSE,2,FALSE,5,FALSE,1,1,4,2,FALSE,2,FALSE,FALSE,FALSE,5,5,FALSE,5,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,5,5,5,5,5,FALSE,FALSE,5,3,3,3,4,4,5
