country,co2pp_07,population_07
Afghanistan,-2.4793222714941,17.11504428584993
Albania,0.25464221837358075,14.924073177485552
Algeria,1.1568811967920856,17.347736202032834
Andorra,1.8748743759385615,11.322974881011783
Angola,0.1823215567939546,16.855259716935038
Antigua and Barbuda,1.7209792871670078,11.33857207782545
Argentina,1.47932922708708,17.49686174565742
Armenia,0.5538851132264376,14.89051298099325
Australia,2.954910279033736,16.855259716935038
Austria,2.192770226986839,15.93297016683163
Azerbaijan,1.2499017362143359,15.981129795885163
Bahamas,1.673351238177753,12.727838209334498
Bahrain,3.254242968705492,13.854731271117556
Bangladesh,-1.2073117055914506,18.778355188224182
Barbados,1.5871923034867805,12.538967060803502
Belarus,1.9139771019523042,16.064694874231204
Belgium,2.424802725718295,16.185754299432134
Belize,0.4637340162321402,12.608198852372823
Benin,-0.6713856887784326,15.949676999333356
Bhutan,-0.579818495252942,13.407542319637992
Bolivia,0.23901690047049992,16.073098285027584
Bosnia and Herzegovina,1.536867219599265,15.139929515366077
Botswana,0.8153648132841944,14.446782334806132
Brazil,0.6312717768418578,19.06253463012476
Brunei,3.100092288878234,12.834681304952548
Bulgaria,1.9947003132247452,15.841023757618554
Burkina Faso,-2.1892564076870427,16.475770095230136
Burundi,-3.738069698304708,15.87729716440539
Cambodia,-1.374365790254617,16.432906390798355
Cameroon,-1.1874435023747254,16.744034081824815
Canada,2.89591193827178,17.3089832157356
Cape Verde,0.06765864847381486,13.071070083016778
Central African Republic,-2.8084231752489974,15.250595083253597
Chad,-2.5383074265151158,16.195056692094447
Chile,1.4539530095937054,16.61887093887081
Colombia,0.34358970439007686,17.59285866006582
Comoros,-1.8325814637483102,13.372343582672098
"Congo, Dem. Rep.",-3.540459448995663,17.884537312202085
"Congo, Rep.",-1.171182981502945,15.171345711599455
Costa Rica,0.5822156198526637,15.29711509888849
Cote d'Ivoire,-1.07587280169862,16.77042083699801
Croatia,1.7439688053917064,15.287982615325218
Cuba,0.8285518175661483,16.240313283682568
Cyprus,2.080690761080268,13.87377946608825
Czech Republic,2.517696472610991,16.1573163641116
Denmark,2.302585092994046,15.514789174398164
Djibouti,-0.5551258826625707,13.5985975564007
Dominica,0.9516578757114463,11.16761427968181
Dominican Republic,0.7975071958841882,16.049816810205026
Ecuador,0.7929925155296614,16.475770095230136
Egypt,0.8671004876833833,18.17478020551554
El Salvador,0.11332868530700327,15.625437331147777
Equatorial Guinea,2.258633205464863,13.619495674038317
Eritrea,-1.6766466621275504,14.914122846632385
Estonia,2.7013612129514133,14.108180171927094
Eswatini,0.02955880224154443,13.854731271117556
Ethiopia,-2.6255489795904663,18.206249133240178
Fiji,0.3148107398400336,13.636383892066839
Finland,2.533696813957432,15.483217378522351
France,1.8809906029559975,17.941030737654824
Gabon,1.0224509277025455,14.20077295875492
Gambia,-1.5371172508544744,14.310206799800381
Georgia,0.4252677354043441,15.243426593774984
Germany,2.3513752571634776,18.21365657451804
Ghana,-0.8698843590599994,16.951004773893423
Greece,2.33214389523559,16.222455666282563
Grenada,0.8197798314933114,11.56171562913966
Guatemala,-0.11991029667255755,16.432906390798355
Guinea,-1.575036485716768,16.06890540676755
Guinea-Bissau,-1.8078888511579387,14.15910026235435
Guyana,0.7371640659767196,13.522480879185897
Haiti,-1.3903023825174294,16.06680235657077
Honduras,0.09531017980432493,15.870915521815869
Hungary,1.766441661243765,16.11809565095832
Iceland,2.4423470353692043,12.628067055589549
Indonesia,0.4824261492442928,19.262247929630583
Iran,1.9740810260220096,18.082406885384525
Iraq,0.7884573603642703,17.144137246791594
Ireland,2.3978952727983707,15.278765960220293
Israel,2.217027204632399,15.739759210238407
Italy,2.0992441689760155,17.887950284798325
Jamaica,1.247032293786383,14.834357878163521
Japan,2.312535423847214,18.66754082188389
Jordan,1.2325602611778486,15.649690743076281
Kazakhstan,2.6100697927420065,16.569171270318538
Kenya,-1.3983669423541598,17.47135015800001
Kiribati,-0.49758039701597007,11.477298287327077
Kuwait,3.3978584803966405,14.73180128983843
Kyrgyz Republic,0.23111172096338664,15.460315614235666
Lao,-1.1776554960085626,15.597219691338827
Latvia,1.3686394258811698,14.603967918328545
Lebanon,1.0612565021243408,15.377856862864524
Lesotho,0.03922071315328133,14.503645196700676
Liberia,-1.7092582477163112,15.056779147033907
Libya,2.1114245875328868,15.602257485368785
Liechtenstein,1.742219023667919,10.468801361586188
Lithuania,1.5769147207285403,14.99723775334289
Luxembourg,3.173878458937465,13.071070083016778
Madagascar,-2.388142981355692,16.780783624033557
Malawi,-2.6214138944426635,16.40327459319198
Malaysia,1.9242486522741338,17.10017412337048
Maldives,0.8458682675776092,12.721885810807203
Mali,-2.3528263094307924,16.432906390798355
Malta,1.884034745337226,12.9190224533863
Marshall Islands,0.7975071958841882,10.933106969717286
Mauritania,-0.6694306539426292,14.978661367769956
Mauritius,1.095273387402595,14.0225247273486
Mexico,1.4816045409242156,18.50685844019342
"Micronesia, Fed. Sts.",0.23111172096338664,11.55214617812351
Moldova,0.1906203596086497,15.233787964937216
Mongolia,1.5390154481375546,14.767168433675721
Montenegro,1.199964782928397,13.337474757021274
Morocco,0.4762341789963717,17.255928652779712
Mozambique,-2.2926347621408776,16.892822818510687
Myanmar,-1.3547956940605197,17.719501391695157
Namibia,0.16551443847757333,14.51364528003526
Nauru,1.4973884086254774,9.195226734166134
Nepal,-2.3248307019413654,17.088874568116545
Netherlands,2.3513752571634776,16.61887093887081
New Zealand,2.157559320943788,15.257712551022461
Nicaragua,-0.2045671657412744,15.536489845131282
Niger,-3.017977882501311,16.503358051748965
Nigeria,-0.43850496218636453,18.79911717967261
North Korea,0.9669838461896731,17.001863191126915
North Macedonia,1.5260563034950492,14.543059165241552
Norway,2.2834022735772717,15.367319357561739
Oman,2.797281334830153,14.793836680757881
Pakistan,-0.07364654016829848,18.939474537367534
Palau,2.580216829592325,9.862665558015873
Palestine,-0.47965000629754095,15.139929515366077
Panama,0.7371640659767196,15.053884789007542
Papua New Guinea,-0.10647224451051676,15.733902678125695
Paraguay,-0.39452516806982996,15.60727002719233
Peru,0.19885085874516517,17.158372362613466
Philippines,-0.23319388716771114,18.308631240143743
Poland,2.1701959049483,17.463568017557954
Portugal,1.7749523509116738,16.176364559082295
Qatar,3.9454577815143836,14.01436141670944
Romania,1.6272778305624314,16.860032995687696
Russia,2.4159137783010487,18.778355188224182
Rwanda,-2.8387285247443264,16.042293937542038
Samoa,-0.05445618579605874,12.111761966058932
Sao Tome and Principe,-0.6792442753909539,12.01974306733868
Saudi Arabia,2.7343675094195836,17.04235455248165
Senegal,-0.8843076860211043,16.275099399767985
Serbia,1.8809906029559975,16.02378497148708
Seychelles,1.9629077254238845,11.40867544359643
Sierra Leone,-2.449925680892755,15.605601970091632
Singapore,1.4701758451005926,15.337209556090368
Slovak Republic,2.028148247292285,15.501909511534503
Slovenia,2.150598735996164,14.51364528003526
Solomon Islands,-1.0078579253996456,13.106233995474446
Somalia,-2.9022419304666522,16.222455666282563
South Africa,2.248128907197987,17.709369592764748
South Korea,2.312535423847214,17.7073308560749
South Sudan,-1.9519282213808764,15.93417281279739
Spain,2.0906287310704004,17.631022663011578
Sri Lanka,-0.48939034304592566,16.801192495664765
St. Kitts and Nevis,1.5107219394949427,10.774780918479548
St. Lucia,0.8329091229351039,12.031719258385396
St. Vincent and the Grenadines,0.7419373447293773,11.59910316121128
Sudan,-0.9187938620922736,17.293668980762558
Suriname,1.235471471385307,13.144124869185841
Sweden,1.7509374747078,16.03035673665031
Switzerland,1.7509374747078,15.835732739984138
Syria,1.1969481893889715,16.80623028969472
Tajikistan,-0.7896580809407892,15.769955609469426
Tanzania,-1.9661128563728327,17.521738650412825
Thailand,1.2499017362143359,18.008191020907237
Timor-Leste,-1.731605546408308,13.854731271117556
Togo,-1.3625778345025745,15.593847006860189
Tonga,0.10436001532424286,11.542484267211773
Trinidad and Tobago,3.5467396869528134,14.085537695177335
Tunisia,0.8329091229351039,16.147654453199863
Turkey,1.5040773967762742,18.058275125304647
Turkmenistan,2.4423470353692043,15.398604495058773
Tuvalu,0.0769610411361284,9.230142999272362
Uganda,-2.3475824589247813,17.19990082131005
Ukraine,1.9823798288367047,17.652810017196483
United Arab Emirates,3.0726933146901194,15.63520939588157
United Kingdom,2.2082744135228043,17.934547732776746
United States,3.0155349008501706,19.52262082271315
Uruguay,0.5822156198526637,15.018482861956626
Uzbekistan,1.47932922708708,17.118727531266227
Vanuatu,-0.7962879394794586,12.296827008798639
Venezuela,1.7783364488959144,17.118727531266227
Vietnam,0.16551443847757333,18.2628566587588
Yemen,-0.026343975339601863,16.874217630679652
Zambia,-1.903808973036678,16.34123920227253
Zimbabwe,-0.21940056503537547,16.325109820342647
